Fid,event_unique_id,occurrencedate,reporteddate,location_type,premises_type,Neighbourhood,Longitude,Latitude,Offence_Label
175.100.207.232-10.42.0.211-80-46722-6,GO-20221658458,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Clairlea-Birchmount,-79.28358861,43.7182347,0
10.42.0.211-115.239.210.141-58262-443-6,GO-20221658878,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,South Riverdale,-79.33754387,43.6687961,1
10.42.0.211-77.234.44.79-52881-443-6,GO-20221658878,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,South Riverdale,-79.33754387,43.6687961,0
10.42.0.151-10.42.0.1-44769-53-17,GO-20221658878,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,South Riverdale,-79.33754387,43.6687961,0
206.108.0.131-10.42.0.211-123-51817-17,GO-20221658896,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,Ttc Subway Station,Transit,Yorkdale-Glen Park,-79.44598667,43.72478043,0
172.217.10.142-10.42.0.151-443-48214-6,GO-20221660606,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Agincourt North,-79.26829904,43.81425581,0
157.240.0.17-10.42.0.211-443-47115-6,GO-20221660230,2022/03/07 05:00:00+00,2022/03/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Agincourt North,-79.26829904,43.81425581,0
182.22.120.231-10.42.0.151-443-35655-6,GO-20221661180,2022/03/08 05:00:00+00,2022/03/08 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Olive-Silverstone-Jamestown,-79.5825711,43.73397143,1
182.22.24.124-10.42.0.211-443-41764-6,GO-20221385366,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Clairlea-Birchmount,-79.26809008,43.70699821,1
172.217.6.200-10.42.0.211-443-41694-6,GO-20221385366,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Clairlea-Birchmount,-79.26809008,43.70699821,0
10.42.0.211-69.147.82.61-41649-443-6,GO-20221385151,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Yorkdale-Glen Park,-79.45700365,43.7101653,0
10.42.0.211-23.206.166.62-41407-80-6,GO-20221386214,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,Universities / Colleges,Educational,University,-79.39840577,43.66410903,0
10.42.0.211-106.11.30.199-36364-443-6,GO-20221387157,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,Other Regional Transit System Vehicle,Transit,Kensington-Chinatown,-79.39837878,43.64832482,1
172.217.10.106-10.42.0.211-443-59705-6,GO-20221387103,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Mount Olive-Silverstone-Jamestown,-79.58938369,43.73202412,1
10.42.0.211-10.42.0.1-46221-53-17,GO-20221386672,2022/01/20 05:00:00+00,2022/01/21 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Humber Summit,-79.56403339,43.75612372,1
10.42.0.211-23.208.168.108-51833-443-6,GO-20221384813,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Islington-City Centre West,-79.5190564,43.62264458,1
203.205.158.62-10.42.0.151-80-53994-6,GO-20221494972,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,NSA,-79.02324578,43.8615181,1
180.149.153.234-10.42.0.211-80-53928-6,GO-20222044151,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NSA,-79.74847983,43.72314651,0
205.204.101.182-10.42.0.211-443-49824-6,GO-20222044151,2022/01/21 05:00:00+00,2022/01/21 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NSA,-79.74847983,43.72314651,1
192.229.173.173-10.42.0.42-443-33619-6,GO-20221389970,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Old East York,-79.34230421,43.69276625,0
10.42.0.151-64.71.142.96-58074-80-6,GO-20221389890,2022/01/21 05:00:00+00,2022/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Dovercourt-Wallace Emerson-Junction,-79.42562006,43.66198485,0
10.42.0.211-104.193.88.109-37740-80-6,GO-20221391016,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Eglinton East,-79.26052776,43.73879263,0
172.217.11.2-10.42.0.211-443-34919-6,GO-20221391016,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Eglinton East,-79.26052776,43.73879263,1
174.35.73.108-10.42.0.42-443-43146-6,GO-20221391016,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Eglinton East,-79.26052776,43.73879263,0
10.42.0.211-23.205.20.233-43570-80-6,GO-20221391275,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Mount Olive-Silverstone-Jamestown,-79.58938369,43.73202412,1
172.217.11.46-10.42.0.151-443-48949-6,GO-20221391884,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,Thistletown-Beaumond Heights,-79.56770583,43.74246642,0
10.42.0.211-77.234.42.92-51512-443-6,GO-20221393262,2022/01/22 05:00:00+00,2022/01/22 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Black Creek,-79.51472666,43.76721178,1
10.42.0.151-52.84.142.16-47647-443-6,GO-20221393282,2022/01/22 05:00:00+00,2022/01/23 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Briar Hill-Belgravia,-79.45471144,43.69678328,0
172.217.10.237-10.42.0.42-443-59294-6,GO-20221395235,2022/01/22 05:00:00+00,2022/01/23 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Thorncliffe Park,-79.34658826,43.70321193,1
10.42.0.1-10.42.0.42-53-43407-17,GO-20221397131,2022/01/23 05:00:00+00,2022/01/23 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Corso Italia-Davenport,-79.44304265,43.67796161,1
10.42.0.151-54.192.38.7-43593-443-6,GO-20221397678,2022/01/23 05:00:00+00,2022/01/23 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,NSA,0,0,0
